date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
   2011-01-15   |   5.5   
	2011-02-28	|	10
2011-02-29 | 15
2011-04-31 | 20
2012-02-29 | 25
2000-02-29 | 30
1999-02-29 | 35
2011-13-01 | 40
2011-00-15 | 45
2011-12-32 | 50
2011-06-00 | 55
abc-01-01 | 60
2011-ab-01 | 65
2011-01-ab | 70
2011/01/01 | 75
2011_01_01 | 80
11-01-01 | 85
2011-1-1 | 90
 | 95
2011-01-01 |
2011-01-01 | abc
2011-01-01 | 95.5abc
2011-01-01 | -0.1
2011-01-01 | 0
2011-01-01 | 0.1
2011-01-01 | 999.99
2011-01-01 | 1000
2011-01-01 | 1000.1
2011-01-01 | 1001
2011-01-01 | 999999999
2011-01-01 | -999999999
2030-12-31 | 100
1900-01-01 | 200
9999-12-31 | 300
2011-01-01   
if wael sees this hi
|
| 500
date | 
nese el pipe | mesh nese el pipe
2011-01-01|500
2011-01-01 |500
2011-01-01| 500
